Mareca falcata
Mareca penelope
Mareca strepera
Melanocorypha mongolica
Meleagris gallopavo
Melopsittacus undulatus
Mergellus albellus
Mergus merganser
Mergus serrator
Mergus squamatus
Merops ornatus
Merops persicus
Merops philippinus
Merops viridis
Milvus migrans
Monticola gularis
Monticola solitarius
Motacilla alba
Motacilla cinerea
Motacilla citreola
Motacilla flava
Motacilla grandis
Motacilla tschutschensis
Muscicapa dauurica
Muscicapa ferruginea
Muscicapa griseisticta
Muscicapa muttui
Muscicapa sibirica
Muscicapa striata
Myiomela leucura
Myiopsitta monachus
Myophonus caeruleus
Myophonus insularis
Netta rufina
Nettapus coromandelianus
Niltava davidi
Niltava oatesi
Niltava sundara
Niltava vivida
Ninox japonica
Nipponia nippon
Nisaetus nipalensis
Nucifraga hemispila
Numenius arquata
Numenius hudsonicus
Numenius madagascariensis
Numenius minutus
Numenius phaeopus
Numida meleagris
Nycticorax caledonicus
Nycticorax nycticorax
Nymphicus hollandicus
Oceanites oceanicus
Oenanthe deserti
Oenanthe isabellina
Oenanthe oenanthe
Oenanthe pleschanka
Onychoprion aleuticus
Onychoprion anaethetus
Onychoprion fuscatus
Oriolus chinensis
Oriolus traillii
Orthotomus sutorius
Otus elegans
Otus lettia
Otus spilocephalus
Otus sunia
Padda oryzivora
Pandion haliaetus
Parabuteo unicinctus
Paroaria coronata
Paroaria gularis
Parus cinereus
Parus monticolus
Passer cinnamomeus
Passer domesticus
Passer montanus
Passerculus sandwichensis
Pastor roseus
Pavo cristatus
Pelecanus crispus
Pelecanus onocrotalus
Pericrocotus cantonensis
Pericrocotus divaricatus
Pericrocotus ethologus
Pericrocotus roseus
Pericrocotus solaris
Pericrocotus speciosus
Pericrocotus tegimae
Periparus ater
Periparus venustulus
Pernis ptilorhynchus
Phaethon aethereus
Phaethon lepturus
Phaethon rubricauda
Phalacrocorax capillatus
Phalacrocorax carbo
Phalaropus fulicarius
Phalaropus lobatus
Phasianus colchicus
Phoebastria albatrus
Phoebastria immutabilis
Phoebastria nigripes
Phoenicopterus roseus
Phoenicurus auroreus
Phoenicurus frontalis
Phoenicurus fuliginosus
Phoenicurus leucocephalus
Phoenicurus ochruros
Phylloscopus affinis
Phylloscopus armandii
Phylloscopus borealis
Phylloscopus borealoides
Phylloscopus castaniceps
Phylloscopus claudiae
Phylloscopus collybita
Phylloscopus coronatus
Phylloscopus examinandus
Phylloscopus fuscatus
Phylloscopus goodsoni
Phylloscopus humei
Phylloscopus ijimae
Phylloscopus inornatus
Phylloscopus intermedius
Phylloscopus omeiensis
Phylloscopus plumbeitarsus
Phylloscopus proregulus
Phylloscopus ricketti
Phylloscopus schwarzi
Phylloscopus sibilatrix
Phylloscopus soror
Phylloscopus subaffinis
Phylloscopus tenellipes
Phylloscopus trochiloides
Phylloscopus trochilus
Phylloscopus valentini
